year,market,artist_name,artist_id,track_name,track_id,popularity,artist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2019,US,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Cinnamon Girl,2mdEsXPu8ZmkHRRtAdC09e,76,"['art pop', 'pop']",0.294,0.337,6,-10.614,0,0.036,0.814,0.414,0.14,0.135,91.781,audio_features,spotify:track:2mdEsXPu8ZmkHRRtAdC09e,https://api.spotify.com/v1/tracks/2mdEsXPu8ZmkHRRtAdC09e,https://api.spotify.com/v1/audio-analysis/2mdEsXPu8ZmkHRRtAdC09e,300683,5
2019,GB,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Cinnamon Girl,2mdEsXPu8ZmkHRRtAdC09e,76,"['art pop', 'pop']",0.294,0.337,6,-10.614,0,0.036,0.814,0.414,0.14,0.135,91.781,audio_features,spotify:track:2mdEsXPu8ZmkHRRtAdC09e,https://api.spotify.com/v1/tracks/2mdEsXPu8ZmkHRRtAdC09e,https://api.spotify.com/v1/audio-analysis/2mdEsXPu8ZmkHRRtAdC09e,300683,5
2019,NL,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Cinnamon Girl,2mdEsXPu8ZmkHRRtAdC09e,76,"['art pop', 'pop']",0.294,0.337,6,-10.614,0,0.036,0.814,0.414,0.14,0.135,91.781,audio_features,spotify:track:2mdEsXPu8ZmkHRRtAdC09e,https://api.spotify.com/v1/tracks/2mdEsXPu8ZmkHRRtAdC09e,https://api.spotify.com/v1/audio-analysis/2mdEsXPu8ZmkHRRtAdC09e,300683,5
2019,US,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Letting Someone Go,6Wxx1jXr6EyGdt8RuYFzvj,68,['oklahoma country'],0.543,0.117,0,-15.153,1,0.0389,0.811,0.0,0.147,0.395,83.607,audio_features,spotify:track:6Wxx1jXr6EyGdt8RuYFzvj,https://api.spotify.com/v1/tracks/6Wxx1jXr6EyGdt8RuYFzvj,https://api.spotify.com/v1/audio-analysis/6Wxx1jXr6EyGdt8RuYFzvj,239761,4
2019,US,Kaash Paige,0f2YkMXwFNJNSX7MymevKE,Love Songs - Bonus,6qL5UWxRSQYml9O99ozoLv,75,['r&b'],0.641,0.355,5,-10.599,1,0.0906,0.831,0.000855,0.11,0.453,120.032,audio_features,spotify:track:6qL5UWxRSQYml9O99ozoLv,https://api.spotify.com/v1/tracks/6qL5UWxRSQYml9O99ozoLv,https://api.spotify.com/v1/audio-analysis/6qL5UWxRSQYml9O99ozoLv,148640,4
2019,GB,Kaash Paige,0f2YkMXwFNJNSX7MymevKE,Love Songs - Bonus,6qL5UWxRSQYml9O99ozoLv,75,['r&b'],0.641,0.355,5,-10.599,1,0.0906,0.831,0.000855,0.11,0.453,120.032,audio_features,spotify:track:6qL5UWxRSQYml9O99ozoLv,https://api.spotify.com/v1/tracks/6qL5UWxRSQYml9O99ozoLv,https://api.spotify.com/v1/audio-analysis/6qL5UWxRSQYml9O99ozoLv,148640,4
2019,NL,Kaash Paige,0f2YkMXwFNJNSX7MymevKE,Love Songs - Bonus,6qL5UWxRSQYml9O99ozoLv,75,['r&b'],0.641,0.355,5,-10.599,1,0.0906,0.831,0.000855,0.11,0.453,120.032,audio_features,spotify:track:6qL5UWxRSQYml9O99ozoLv,https://api.spotify.com/v1/tracks/6qL5UWxRSQYml9O99ozoLv,https://api.spotify.com/v1/audio-analysis/6qL5UWxRSQYml9O99ozoLv,148640,4
2019,US,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,listen before i go,0tMSssfxAL2oV8Vri0mFHE,74,"['art pop', 'electropop', 'pop']",0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,audio_features,spotify:track:0tMSssfxAL2oV8Vri0mFHE,https://api.spotify.com/v1/tracks/0tMSssfxAL2oV8Vri0mFHE,https://api.spotify.com/v1/audio-analysis/0tMSssfxAL2oV8Vri0mFHE,242652,3
2019,GB,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,listen before i go,0tMSssfxAL2oV8Vri0mFHE,74,"['art pop', 'electropop', 'pop']",0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,audio_features,spotify:track:0tMSssfxAL2oV8Vri0mFHE,https://api.spotify.com/v1/tracks/0tMSssfxAL2oV8Vri0mFHE,https://api.spotify.com/v1/audio-analysis/0tMSssfxAL2oV8Vri0mFHE,242652,3
2019,NL,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,listen before i go,0tMSssfxAL2oV8Vri0mFHE,74,"['art pop', 'electropop', 'pop']",0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,audio_features,spotify:track:0tMSssfxAL2oV8Vri0mFHE,https://api.spotify.com/v1/tracks/0tMSssfxAL2oV8Vri0mFHE,https://api.spotify.com/v1/audio-analysis/0tMSssfxAL2oV8Vri0mFHE,242652,3
