year,market,artist_name,artist_id,track_name,track_id,popularity,artist_genre
2022,US,ThxSoMch,4MvZhE1iuzttcoyepkpfdF,SPIT IN MY FACE!,1N8TTK1Uoy7UvQNUazfUt5,85,[]
2022,US,Rema,46pWGuE3dSwY3bMMXGBvVS,Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,92,['nigerian pop']
2022,US,Yeat,3qiHUAX7zY4Qnjx8TNUzVx,Out thë way,6IyoLWzljeR3ldQo4KWHT6,81,['pluggnb']
2022,US,SZA,7tYKF4w9nC0nq9CsPZTHyP,Seek & Destroy,6eT2V7nKXyMf47TwPbtgAD,81,"['pop', 'r&b']"
2022,US,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,La Bachata,5ww2BF9slyYgNOk37BlC4u,93,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']"
2022,US,SZA,7tYKF4w9nC0nq9CsPZTHyP,Ghost in the Machine (feat. Phoebe Bridgers),4h5x3XHLVYFJaItKuO2rhy,81,"['pop', 'r&b']"
2022,US,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,86,['pop']
2022,US,Drake,3TVXtAsR1Inumwj472S9r4,Pussy & Millions (feat. Travis Scott),2KLwPaRDOB87XOYAT2fgxh,82,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
2022,US,Carin Leon,66ihevNkSYNzRAl44dx6jJ,Que Vuelvas,6Um358vY92UBv5DloTRX9L,87,"['corrido', 'musica mexicana', 'sad sierreno', 'sierreno']"
2022,US,Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,Bebe Dame,0mzsLrUNazBaRfYZfjmpSV,86,"['corrido', 'corridos tumbados', 'nueva musica mexicana', 'sad sierreno', 'sierreno']"
2022,US,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO,Evergreen (You Didn’t Deserve Me At All),2TktkzfozZifbQhXjT6I33,83,"['bedroom pop', 'bedroom soul', 'pop']"
2022,US,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,ALL MINE,3XgGQ1wjo5khvq2UImjyNF,79,"['dmv rap', 'hip hop', 'pop', 'r&b', 'rap']"
2022,US,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Efecto,5Eax0qFko2dh7Rl2lYs3bx,88,"['reggaeton', 'trap latino', 'urbano latino']"
2022,US,Ñengo Flow,12vb80Km0Ew53ABfJOepVz,Gato de Noche,54ELExv56KCAB4UP9cOCzC,89,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
2022,US,PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,Boy's a liar,3NanY0K4okhIQzL33U5Ad8,83,[]
2022,US,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,TV,3GYlZ7tbxLOxe6ewMNVTkw,84,"['art pop', 'electropop', 'pop']"
2022,US,Freddie Dredd,0dlDsD7y6ccmDm8tuWCU6F,Limbo,37F7E7BKEw2E4O2L7u0IEp,84,"['aesthetic rap', 'phonk']"
2022,US,Joji,3MZsBdqDrRTJihTHQrO6Dq,Die For You,26hOm7dTtBi0TdpDGl141t,85,['viral pop']
2022,US,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Vegas (From the Original Motion Picture Soundtrack ELVIS),0hquQWY3xvYqN4qtiquniF,83,"['dance pop', 'pop']"
2022,US,SZA,7tYKF4w9nC0nq9CsPZTHyP,Special,6RQ5IwG7uADz9LDWliJGjU,80,"['pop', 'r&b']"
2022,US,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,One Thing At A Time,6KGtAlYvgm4W9PoYabFAYE,77,['contemporary country']
2022,US,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,Thought You Should Know,6NHpyYvJyQsg2nXXzGYc2R,77,['contemporary country']
2022,US,Drake,3TVXtAsR1Inumwj472S9r4,On BS,34tz0eDhGuFErIuW3q4mPX,80,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
2022,US,Drake,3TVXtAsR1Inumwj472S9r4,Spin Bout U,2ZL7WZcjuYKi1KUDtp4kCC,80,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
2022,US,SZA,7tYKF4w9nC0nq9CsPZTHyP,Used (feat. Don Toliver),1TweDM3JC49LNeelLVg3yX,79,"['pop', 'r&b']"
2022,US,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,Miss You,73vIOb4Q7YN6HeJTbscRx5,90,['alternative hip hop']
2022,US,Drake,3TVXtAsR1Inumwj472S9r4,Major Distribution,46s57QULU02Voy0Kup6UEb,80,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
2022,US,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnight Rain,3rWDp9tBPQR9z6U5YyRSK4,83,['pop']
2022,US,SZA,7tYKF4w9nC0nq9CsPZTHyP,Open Arms (feat. Travis Scott),0xaFw2zDYf1rIJWl2dXiSF,80,"['pop', 'r&b']"
2022,US,SZA,7tYKF4w9nC0nq9CsPZTHyP,SOS,5xMw6qCcpd2gBXPGTegC4W,79,"['pop', 'r&b']"
2022,US,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,10:35,6BePGk3eCan4FqaW2X8Qy3,87,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
2022,US,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW,She Had Me At Heads Carolina,200x8ONbPfFzByUr3fVz46,77,"['contemporary country', 'country', 'country road', 'modern country rock']"
2022,US,Grupo Frontera,6XkjpgcEsYab502Vr1bBeW,No Se Va - En Vivo,23Lyy7ZXRvzfgH4JtDkKrX,85,['nueva musica mexicana']
2022,US,Joji,3MZsBdqDrRTJihTHQrO6Dq,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,85,['viral pop']
2022,US,Steve Lacy,57vWImR43h4CaDao012Ofp,Static,4OmfWzukSVD140NiAIEjem,79,['afrofuturism']
2022,US,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Sun to Me,1SjsVdSXpwm1kTdYEHoPIT,76,['oklahoma country']
2022,US,SZA,7tYKF4w9nC0nq9CsPZTHyP,Gone Girl,2Sjx8DWZO5zaTyTAmgo2gY,78,"['pop', 'r&b']"
2022,US,Jordan Davis,77kULmXAQ6vWer7IIHdGzI,What My World Spins Around,6HBRLaSQ7NB8MNlaqzYen1,76,"['contemporary country', 'country', 'country road']"
2022,US,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Ojitos Lindos,3k3NWokhRRkEPhCzPmV8TW,88,"['reggaeton', 'trap latino', 'urbano latino']"
2022,US,RAYE,5KKpBU5eC2tJDzf0wmlRp2,Escapism. - Sped Up,4rPJSqrov3zqGwXlemLBMw,85,"['dance pop', 'pop', 'uk contemporary r&b']"
2022,US,Luke Combs,718COspgdWOnwOFpJHRZHS,"Going, Going, Gone",67AdiJcurlf6gocGobfaXs,77,"['contemporary country', 'country']"
2022,US,SZA,7tYKF4w9nC0nq9CsPZTHyP,F2F,2e2AXpIiJpet5b4qg85Gh6,78,"['pop', 'r&b']"
2022,US,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,Thank God,1brnLTvarI9D1hLP6z2Ar8,76,"['black americana', 'contemporary country', 'country', 'country road']"
2022,US,Coi Leray,6AMd49uBDJfhf30Ak2QR5s,Players,6UN73IYd0hZxLi8wFPMQij,82,"['new jersey underground rap', 'r&b', 'rap', 'trap queen']"
2022,US,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Moscow Mule,6Xom58OOXk2SoU711L2IXO,86,"['reggaeton', 'trap latino', 'urbano latino']"
2022,US,GloRilla,2qoQgPAilErOKCwE2Y8wOG,Tomorrow 2 (with Cardi B),7KXVIAuw3m2hxZanrpSXS3,76,['rap']
2022,US,SZA,7tYKF4w9nC0nq9CsPZTHyP,Notice Me,4fnNBPN9W6AoOYSQS3FJxT,78,"['pop', 'r&b']"
2022,US,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,"Burn, Burn, Burn",5jfhLCSIFUO4ndzNRh4w4G,76,['oklahoma country']
2022,US,Future,1RyvyyTE3xzB2ZywiAwp0i,PUFFIN ON ZOOTIEZ,1qMMYpVatbRITKCfq1gasi,77,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
2022,US,Nate Smith,4NYMUsIcUUsBHbV9DICa5x,Whiskey On You,6Tm4Io4ct4w14nB1EUzsY3,76,"['contemporary country', 'country']"
2022,US,Bizarrap,716NhGYqD1jl2wI1Qkgq36,"Quevedo: Bzrp Music Sessions, Vol. 52",2tTmW7RDtMQtBk7m2rYeSw,92,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
2022,US,Bailey Zimmerman,3win9vGIxFfBRag9S63wwf,Fall In Love,5gVCfYmQRPy1QJifP8f5gg,75,['contemporary country']
2022,US,Drake,3TVXtAsR1Inumwj472S9r4,Circo Loco,7GeTsDIc5ykNB6lORO6Cee,79,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
2022,US,SZA,7tYKF4w9nC0nq9CsPZTHyP,Smoking on my Ex Pack,4jTs7ny5eSRnKTzxdrFv5I,77,"['pop', 'r&b']"
2022,US,Megan Moroney,5Ppie0uPnbnvGBYRwYmlt0,Tennessee Orange,3fl4zil6HJ0N1FL3YIRwdC,75,['contemporary country']
2022,US,Cults,3Oim8XBPbznAa8Jj8QzNc8,Gilded Lily,3Z0qLOS0cqWKPHXkbTXmNF,80,"['experimental pop', 'indie surf', 'pop']"
2022,US,Arcángel,4SsVbpTthjScTS7U2hmr1X,La Jumpa,5MxFWjuqQIsbNWbMdMdbli,89,"['latin hip hop', 'reggaeton', 'urbano latino']"
2022,US,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Oklahoma Smokeshow,0OWhKvvsHptt6vnnNUSM9a,75,['oklahoma country']
2022,US,Central Cee,5H4yInM5zmHqpKIoMNAx4r,LET GO,3zkyus0njMCL6phZmNNEeN,90,['melodic drill']
2022,US,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Neverita,31i56LZnwE6uSu3exoHjtB,87,"['reggaeton', 'trap latino', 'urbano latino']"
2022,US,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,First Class,0wHFktze2PHC5jDt3B17DC,81,"['deep underground hip hop', 'kentucky hip hop', 'pop', 'rap']"
2022,US,Natanael Cano,0elWFr7TW8piilVRYJUe4P,AMG,1lRtH4FszTrwwlK5gTSbXO,86,"['corrido', 'corridos tumbados', 'musica mexicana', 'nueva musica mexicana', 'sad sierreno', 'sierreno']"
2022,US,SZA,7tYKF4w9nC0nq9CsPZTHyP,Conceited,4hTej08FutmriOs7S1hWWy,77,"['pop', 'r&b']"
2022,US,Drake,3TVXtAsR1Inumwj472S9r4,Broke Boys,45pUWUeEWGoSdH6UF162G8,77,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
2022,US,Tyler Hubbard,3BEV5FcxOtkQJ7lLRKMh3V,5 Foot 9,6AqwH2Y9FJwhUE2dCSkw1u,75,"['contemporary country', 'country']"
2022,US,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Super Freaky Girl,4C6Uex2ILwJi9sZXRdmqXp,81,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']"
2022,US,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Raindrops (Insane) [with Travis Scott],1pacwLXyRO47ka0v6LTIiY,78,['rap']
2022,US,SZA,7tYKF4w9nC0nq9CsPZTHyP,Good Days,4PMqSO5qyjpvzhlLI5GnID,78,"['pop', 'r&b']"
2022,US,NewJeans,6HvZYsbFfjnjFrWF950C9d,Hype Boy,0a4MMyCrzT0En247IhqZbD,85,"['k-pop', 'k-pop girl group']"
2022,US,Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,Billete Grande (En Vivo),3XfUFGzbr0LmwFVoLXd9cO,82,"['corrido', 'corridos tumbados', 'nueva musica mexicana', 'sad sierreno', 'sierreno']"
2022,US,Kordhell,2W6WP4pHQTFlbr2z9S4n54,Murder In My Mind,6qyS9qBy0mEk3qYaH8mPss,86,['drift phonk']
2022,US,Lizzy McAlpine,1GmsPCcpKgF9OhlNXjOsbS,ceilings,2L9N0zZnd37dwF0clgxMGI,78,"['boston folk', 'indie pop', 'pop']"
2022,US,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Bejeweled,3qoftcUZaUOncvIYjFSPdE,80,['pop']
2022,US,Lizzo,56oDRnqbIiwx4mymNEv7dS,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,82,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']"
2022,US,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,STAR WALKIN' (League of Legends Worlds Anthem),38T0tPVZHcPZyhtOcCP7pF,85,"['lgbtq+ hip hop', 'pop']"
2022,US,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Trance (with Travis Scott & Young Thug),5wG3HvLhF6Y5KTGlK0IW3J,78,['rap']
2022,US,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,Tennessee Fan,3Ga7Uele3zN57vQ4F0HPTW,74,['contemporary country']
2022,US,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Umbrella (with 21 Savage & Young Nudy),2Yt4SXIgmoaPZHGdRafp4P,77,['rap']
2022,US,Shakira,0EmeFodog0BfCgMzAIvKQp,Monotonía,6G12ZafqofSq7YtrMqUm76,88,"['colombian pop', 'dance pop', 'latin pop']"
2022,US,SZA,7tYKF4w9nC0nq9CsPZTHyP,Far,74NI58MQexwZjNu1Gu6GjT,76,"['pop', 'r&b']"
2022,US,HARDY,5QNm7E7RU2m64l6Gliu8Oy,wait in the truck (feat. Lainey Wilson),7trjNYF5ek7zX4GKSHQZbP,74,"['contemporary country', 'country', 'country road']"
2022,US,Taylor Swift,06HL4z0CvFAxyc27GXpf02,"You're On Your Own, Kid",4D7BCuvgdJlYvlX5WlN54t,80,['pop']
2022,US,Drake,3TVXtAsR1Inumwj472S9r4,Privileged Rappers,7l2nxyx7IkBX5orhkALg0V,77,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
2022,US,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Karma,7KokYm8cMIXCsGVmUvKtqf,80,['pop']
